Duluth_MN-WI,Duluth,MN-WI,274308,1
Atlantic City-Hammonton_NJ,Atlantic City-Hammonton,NJ,270644,1
Norwich-New London_CT,Norwich-New London,CT,267376,1
Lubbock_TX,Lubbock,TX,267211,1
San Luis Obispo-Paso Robles_CA,San Luis Obispo-Paso Robles,CA,262436,1
Clarksville_TN-KY,Clarksville,TN-KY,261816,1
Hagerstown-Martinsburg_MD-WV,Hagerstown-Martinsburg,MD-WV,261198,1
Holland-Grand Haven_MI,Holland-Grand Haven,MI,259206,1
Gainesville_FL,Gainesville,FL,257099,1
Lafayette_LA,Lafayette,LA,256494,1
Cedar Rapids_IA,Cedar Rapids,IA,252784,1
Santa Cruz-Watsonville_CA,Santa Cruz-Watsonville,CA,251747,1
Myrtle Beach-North Myrtle Beach-Conway_SC,Myrtle Beach-North Myrtle Beach-Conway,SC,249925,1
Binghamton_NY,Binghamton,NY,246426,1
Merced_CA,Merced,CA,245514,1
Greeley_CO,Greeley,CO,243750,1
Lynchburg_VA,Lynchburg,VA,243580,1
Amarillo_TX,Amarillo,TX,242240,1
Olympia_WA,Olympia,WA,238555,1
Bremerton-Silverdale_WA,Bremerton-Silverdale,WA,236732,1
Laredo_TX,Laredo,TX,233152,1
Yakima_WA,Yakima,WA,233062,1
Gulfport-Biloxi_MS,Gulfport-Biloxi,MS,231523,1
Macon_GA,Macon,GA,229846,1
Kennewick-Pasco-Richland_WA,Kennewick-Pasco-Richland,WA,228992,1
Topeka_KS,Topeka,KS,228692,1
Waco_TX,Waco,TX,228123,1
Sioux Falls_SD,Sioux Falls,SD,227171,1
Barnstable Town_MA,Barnstable Town,MA,222175,1
Champaign-Urbana_IL,Champaign-Urbana,IL,220923,1
Chico_CA,Chico,CA,218779,1
Appleton_WI,Appleton,WI,218026,1
Prescott_AZ,Prescott,AZ,212635,1
Burlington-South Burlington_VT,Burlington-South Burlington,VT,207361,1
Springfield_IL,Springfield,IL,206588,1
Tuscaloosa_AL,Tuscaloosa,AL,205218,1
Longview_TX,Longview,TX,203611,1
College Station-Bryan_TX,College Station-Bryan,TX,203371,1
Saginaw-Saginaw Township North_MI,Saginaw-Saginaw Township North,MI,202268,1
Houma-Bayou Cane-Thibodaux_LA,Houma-Bayou Cane-Thibodaux,LA,201137,1
Medford_OR,Medford,OR,199295,1
Las Cruces_NM,Las Cruces,NM,198791,1
Florence_SC,Florence,SC,198719,1
Tyler_TX,Tyler,TX,198705,1
Elkhart-Goshen_IN,Elkhart-Goshen,IN,197942,1
Racine_WI,Racine,WI,195099,1
Lake Havasu City-Kingman_AZ,Lake Havasu City-Kingman,AZ,194944,1
Johnson City_TN,Johnson City,TN,193554,1
Bellingham_WA,Bellingham,WA,192999,1
Charlottesville_VA,Charlottesville,VA,192779,1
Fargo_ND-MN,Fargo,ND-MN,192417,1
Lafayette_IN,Lafayette,IN,192161,1
Lake Charles_LA,Lake Charles,LA,191926,1
Yuma_AZ,Yuma,AZ,190557,1
Torrington_CT,Torrington,CT,188273,1
Athens-Clarke County_GA,Athens-Clarke County,GA,187405,1
St. Cloud_MN,St. Cloud,MN,185555,1
Seaford_DE,Seaford,DE,184291,1
Bloomington_IN,Bloomington,IN,183733,1
Kingston_NY,Kingston,NY,181860,1
Fort Walton Beach-Crestview-Destin_FL,Fort Walton Beach-Crestview-Destin,FL,181499,1
Rochester_MN,Rochester,MN,181082,1
Gainesville_GA,Gainesville,GA,180175,1
Anderson_SC,Anderson,SC,179981,1
Redding_CA,Redding,CA,179427,1
Muskegon-Norton Shores_MI,Muskegon-Norton Shores,MI,174386,1
Hilo_HI,Hilo,HI,173057,1
Greenville_NC,Greenville,NC,172473,1
Monroe_LA,Monroe,LA,172275,1
Daphne-Fairhope-Foley_AL,Daphne-Fairhope-Foley,AL,171769,1
Lebanon_NH-VT,Lebanon,NH-VT,171391,1
Joplin_MO,Joplin,MO,171278,1
Terre Haute_IN,Terre Haute,IN,169346,1
Hilton Head Island-Beaufort_SC,Hilton Head Island-Beaufort,SC,169269,1
